Target,Model,Split,MAE,RMSE,R2
Final_Cost_Overrun_Pct,Ridge Regression,Validation,0.03372192045544292,0.043072995317767544,0.48110535408166044
Final_Cost_Overrun_Pct,Random Forest Regressor,Validation,0.032640047044978214,0.04152172862552072,0.5178081194233473
Final_Cost_Overrun_Pct,Ridge Regression,Test,0.032119134032086986,0.04074091905591144,0.5200199968969929
Final_Cost_Overrun_Pct,Random Forest Regressor,Test,0.03245901993026378,0.040973284231740154,0.5145292668395652
Final_Schedule_Delay_Days,Ridge Regression,Validation,15.762129247053526,19.297584080019604,0.4395020764140065
Final_Schedule_Delay_Days,Random Forest Regressor,Validation,16.038672421071066,19.741164106409396,0.41343838110653897
Final_Schedule_Delay_Days,Ridge Regression,Test,15.528141087689615,19.498591302780397,0.29390568083490687
Final_Schedule_Delay_Days,Random Forest Regressor,Test,15.403008960857107,18.953239589446163,0.33285052318581365
