Target,Model,Split,ROC_AUC,PR_AUC,Brier_Score,Accuracy,Precision,Recall,F1,Specificity,Threshold,TN,FP,FN,TP
Cost_Overrun_Flag,Logistic Regression,Validation,0.8599073095373607,0.7032229514241353,0.15921430530005914,0.7822349570200573,0.5785714285714286,0.826530612244898,0.680672268907563,0.7649402390438247,0.505,192,59,17,81
Cost_Overrun_Flag,Random Forest,Validation,0.876981868444589,0.7238477119984114,0.13985211803910816,0.7994269340974212,0.5945945945945946,0.8979591836734694,0.7154471544715447,0.7609561752988048,0.43500000000000005,191,60,10,88
Cost_Overrun_Flag,Logistic Regression,Test,0.8903950103950105,0.7601465800860796,0.13315623758206582,0.8165137614678899,0.6013071895424836,0.8288288288288288,0.696969696969697,0.8123076923076923,0.505,264,61,19,92
Cost_Overrun_Flag,Random Forest,Test,0.8990990990990991,0.7742783234536805,0.12286356694121951,0.8279816513761468,0.625,0.8108108108108109,0.7058823529411765,0.8338461538461538,0.43500000000000005,271,54,21,90
Schedule_Delay_Flag,Logistic Regression,Validation,0.856495994427029,0.6912972428344152,0.16885261668182341,0.836676217765043,0.6741573033707865,0.6818181818181818,0.6779661016949152,0.8888888888888888,0.695,232,29,28,60
Schedule_Delay_Flag,Random Forest,Validation,0.8517502612330199,0.6865136641613448,0.14723292340615982,0.7793696275071633,0.5426356589147286,0.7954545454545454,0.6451612903225806,0.7739463601532567,0.44000000000000006,202,59,18,70
Schedule_Delay_Flag,Logistic Regression,Test,0.7560797342192692,0.5236284143171703,0.18310684769783422,0.8096330275229358,0.52,0.45348837209302323,0.484472049689441,0.8971428571428571,0.695,314,36,47,39
Schedule_Delay_Flag,Random Forest,Test,0.7528239202657807,0.48804590468111586,0.1584195438230468,0.7339449541284404,0.3828125,0.5697674418604651,0.45794392523364486,0.7742857142857142,0.44000000000000006,271,79,37,49
