Target,Bin,Mean_Predicted_Probability,Observed_Rate,Project_Count
Cost_Overrun_Flag,1,0.06155117397307841,0.0,44
Cost_Overrun_Flag,2,0.10214038713989047,0.022727272727272728,44
Cost_Overrun_Flag,3,0.14960998384004887,0.023255813953488372,43
Cost_Overrun_Flag,4,0.2183861768550006,0.045454545454545456,44
Cost_Overrun_Flag,5,0.28006515556011174,0.13953488372093023,43
Cost_Overrun_Flag,6,0.3408233064206873,0.022727272727272728,44
Cost_Overrun_Flag,7,0.4225239310812231,0.3488372093023256,43
Cost_Overrun_Flag,8,0.5198093427181592,0.45454545454545453,44
Cost_Overrun_Flag,9,0.6583940933297046,0.627906976744186,43
Cost_Overrun_Flag,10,0.8237457336860392,0.8636363636363636,44
Schedule_Delay_Flag,1,0.046293074925947614,0.06818181818181818,44
Schedule_Delay_Flag,2,0.10002850626488073,0.06818181818181818,44
Schedule_Delay_Flag,3,0.1511895217551161,0.16279069767441862,43
Schedule_Delay_Flag,4,0.20827250688304574,0.045454545454545456,44
Schedule_Delay_Flag,5,0.2841517512334961,0.09302325581395349,43
Schedule_Delay_Flag,6,0.3836141074615726,0.1590909090909091,44
Schedule_Delay_Flag,7,0.4956962828441748,0.11627906976744186,43
Schedule_Delay_Flag,8,0.6098451585429485,0.2727272727272727,44
Schedule_Delay_Flag,9,0.7234505870912279,0.3953488372093023,43
Schedule_Delay_Flag,10,0.863492656125155,0.5909090909090909,44
